Name,Description,Director,Year,Runtime,Age Restriction,Ratings
In the Land of Saints and Sinners,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried.",Robert Lorenz,2023,1h 46m,R,"6.2
 (1.6K)"
Barbie,Barbie suffers a crisis that leads her to question her world and her existence.,Greta Gerwig,2023,1h 54m,PG-13,"7.0
 (397K)"
Last Call for Istanbul,"A chance meeting at the airport leads two married people to an unforgettable night full of excitement, desire, and temptation in New York City.",Gonenc Uyanik,2023,1h 31m,TV-MA,"5.4
 (5.7K)"
No Hard Feelings,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,2023,1h 43m,R,"6.4
 (113K)"
Aquaman and the Lost Kingdom,"Aquaman balances his duties as king and as a member of the Justice League, all while planning a wedding. Black Manta is on the hunt for Atlantean tech to help rebuild his armor. Orm plots to escape his Atlantean prison.",James Wan,2023,1h 55m,PG-13,
Tiger 3,Tiger and Zoya are back - to save the country and their family. This time it's personal.,Maneesh Sharma,2023,0h 0m,"2023
2h 34m","7.4
 (42K)"
The Shift,"After meeting a mysterious stranger, a man must escape a ""dystopian"" world to return to his wife.",Brock Heasley,2023,1h 55m,PG-13,"6.4
 (1K)"
Lady Ballers,"A down-on-his-luck former high school basketball coach will do anything to win, which in this case means leading his team of men to don wigs and brutally dominate in multiple women's sports.",Jeremy Boreing,2023,0h 0m,"2023
TV-14","7.0
 (4.9K)"
Indiana Jones and the Dial of Destiny,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,James Mangold,2023,2h 34m,PG-13,"6.6
 (147K)"
Genie,The film is a fairy-tale comedy about a workaholic man who enlists the help of a magical genie to help win his family back before Christmas.,Sam Boyd,2023,1h 33m,PG,"5.9
 (3.6K)"
Blue Beetle,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",Angel Manuel Soto,2023,2h 7m,PG-13,"6.0
 (74K)"
Dream Scenario,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",Kristoffer Borgli,2023,1h 42m,R,"7.4
 (5.4K)"
X,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,2022,1h 45m,R,"6.5
 (155K)"
Anyone But You,"After an amazing first date, Bea and Ben's fiery attraction turns ice cold - until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",Will Gluck,2023,0h 0m,"2023
1h 40m",
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",George Miller,2015,2h 0m,R,"8.1
 (1.1M)"
Mission: Impossible - Dead Reckoning Part One,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,Christopher McQuarrie,2023,2h 43m,PG-13,"7.8
 (196K)"
Violent Night,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",Tommy Wirkola,2022,1h 52m,R,"6.7
 (83K)"
Maestro,This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.,Bradley Cooper,2023,2h 9m,R,"7.2
 (1.5K)"
Best. Christmas. Ever!,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,2023,1h 22m,TV-PG,"4.3
 (6.1K)"
The Book of Clarence,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.",Jeymes Samuel,2023,0h 0m,"2023
2h 16m",
How the Grinch Stole Christmas,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,2000,1h 44m,PG,"6.3
 (276K)"
The Grinch,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,2018,1h 25m,PG,"6.4
 (82K)"
Good Burger 2,"After his latest invention fails, Dex is welcomed back by Ed to his old job at Good Burger, which is once again put in jeopardy when Dex devises a plan to get back on his feet.",Phil Traill,2023,1h 30m,TV-PG,"5.4
 (1.9K)"
Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",Joaquim Dos Santos,2023,2h 20m,PG,"8.7
 (306K)"
