Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Sheet Name,Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,Discrete (CS-K),,,Data St (CS-K),,,Data St (CS-J),,,LA (CS-G),,,Comp Net (DS-N),,,Info Sec (DS-N),,,,,,,Thursday,,,,C-311
,Islamic (CS-A) 08:30-10:15,,,,,,Discrete (CS-C),,,Discrete (CS-F),,,German Lang (SE),,,German Lang (CS),,,,,,,Thursday,,,,C-401
,Ideology of Pak (AI-B) 08:30-10:15,,,,,,LA (CS-E),,,COAL (CS-J),,,Psychology,,,OS (CY-T),,,,,,,Thursday,,,,C-402
,Func Eng (CY-B) 08:30-10:15,,,,,,COAL (CS-K),,,Discrete (CS-H),,,Fund of Mgt,,,Fund of Mgt (SE-C),,,,,,,Thursday,,,,C-403
,Discrete (CS-J),,,MLOPs,,,Net & Cy Sec-II (CY-T) 11:35-12:55,,,DLD (AI-A),,,Mktg Mgt (CS-A),,,Mktg Mgt (CS-B),,,,,,,Thursday,,,,C-404
,PF (DS-C),,,Calculus (DS-C),,,LA (SE-D),,,AP (DS-C),,,Freelancing (CS-A),,,Freelancing (CS-B),,,,,,,Thursday,,,,C-405
,PF (CS-E),,,AP (CS-E),,,DLD (DS-D),,,Fund of SE (DS-D),,,"Algo (CS-A, 21)",,,"Algo (CS-D, 21)",,,,,,,Thursday,,,,C-406
,DLD (DS-A),,,Intro to DS (DS-A) ,,,Data St (DS-A),,,Prob & Stats (DS-A),,,Fund of Mgt (AI-A),,,Fund of Mgt (AI-B),,,,,,,Thursday,,,,C-407
,Intro to DS (DS-B),,,DLD (DS-B),,,Prob & Stats (DS-B),,,Data St (DS-B),,,Mktg Mgt (AI-A),,,Mktg Mgt (AI-B),,,,,,,Thursday,,,,C-408
,Cloud Comp,,,DataWare (DS-M),,,OS (DS-M),,,OS (DS-N),,,Islamic (B),,,Pak Studies (B),,,,,,,Thursday,,,,C-409
,Fund of SE (DS-C),,,DLD (DS-C),,,Fund of SE (CY-B),,,Prob & Stats (CY-B),,,Mktg Mgt (SE-A),,,Mktg Mgt (SE-B),,,,,,,Thursday,,,,C-410
,Data St (CS-B),,,Data St (CS-A),,,Data St (CY-C/D),,,,,,HCI (SE-E),,,,,,,,,,Thursday,,,,B-130
,Net & Cy Sec-I (CY-C),,,Prob & Stats (CY-C),,,Prob & Stats (CY-A),,,Fund of SE (CY-A),,,,,,,,,,,,,Thursday,,,,B-227
,Prob & Stats (CY-D),,,Net & Cy Sec-I (CY-D),,,Data St (SE-E),,,COAL (CS-E) ReSch,,,"Algo (CS-C,21)",,,,,,,,,,Thursday,,,,B-229
,LA (SE-B),,,S/w Req Engg (SE-F),,,Data St (SE-F),,,HCI (SE-F),,,Info Sec (CS-F),,,PPIT (CS-F),,,,,,,Thursday,,,,B-230
,COAL (CS-Z),,,HCI (SE-G),,,S/w Req Engg (SE-G),,,Data St (SE-G),,,"OOP (CS-C, 22)",,,"OOP (CS-D, 22)",,,,,,,Thursday,,,,A-108
,Discrete (CS-Z),,,LA (SE-C),,,LA (SE-A),,,NLP,,,"OS (CS-C, 21)",,,"OS (CS-D,21)",,,,,,,Thursday,,,,A-211
,SDA (CS-G),,,Comp Net (CS-G),,,Automata (CS-G),,,SDA (CS-F),,,,,,,,,,,,,Thursday,,,,A-301
,COAL (CS-H),,,LA (CS-H),,,Automata (CS-B),,,DB (CY-T),,,"DB (CS-A, 21)",,,"DB (CS-B,21)",,,,,,,Thursday,,,,A-302
,Automata (CS-F),,,Automata (CS-H),,,DevOps (A),,,DevOps (B),,,PPIT (CS-D),,,Info Sec (CS-D),,,,,,,Thursday,,,,A-303
,TBW (CS-E),,,Stat & Modeling (CS-A),,,TBW (CS-A/Y),,,TBW (AI-K),,,Info Sec (CS-E),,,PPIT (CS-E),,,,,,,Thursday,,,,A-305
,Stat & Modeling (CS-D),,,TBW (CS-C),,,NLP (SE),,,PDC,,,"DB (SE, 21)",,,"Diff Eq (B, 22)",,,,,,,Thursday,,,,A-310
,Data St (AI-A),,,Prog for AI (AI-A),,,DLD (AI-B),,,Prog for AI (AI-B),,,"Diff Eq (C, 22)",,,"Diff Eq (A, 22)",,,,,,,Thursday,,,,A-311
,TBW (SE-P),,,Data St (AI-B),,,SDA (CS-Z),,,Automata (CS-Z),,,Takhleeq,,,,,,,,,,Thursday,,,,A-314
,S/w Qual Engg (SE-Q),,,Discrete (CS-D),,,TBW (AI-J),,,SDA (CS-H),,,,,,,,,,,,,Thursday,,,,A-315
,TBW (DS-U),,,Numerical (A-20),,,TBW (CS-D),,,Stat & Modeling (CS-Y/C),,,Reserved by Dr. Ahmed Raza,,,Reserved by Dr. Ahmed Raza,,,,,,,Thursday,,,,A-316
,Sec S/w Design (CY-M),,,,,,Blockchain & Crypto,,,Reserved,,,Reserved,,,Reserved,,,,,,,Thursday,,,,C-110
,LA (CS-F),,,COAL (CS-F),,,S/w Qual Engg (SE-P),,,Web Engg (SE-P),,,S/w Re-Engg (SE-P),,,Fund of SPM (SE-P),,,,,,,Thursday,,,,Seminar A
,Blockchain & Crypto (SE),,,Fund of SPM (SE-R),,,Stat & Modeling (CS-E),,,,,,,,,,,,,,,,Thursday,,,,B-129
,08:30-11:15,,,,,,11:25-02:10,,,,,,02:25-05:10,,,,,,,,,,Thursday,,05:20 - 08:05 (inc. 10 min. break)  ,,Lab
,IICT (CS-B),,,,,,IICT (AI-B) ,,,,,,PF Lab (CS-B) ,,,,,,,,,,Thursday,,,,C-Margala 1
,PF Lab (CS-C),,,,,,,,,,,,,,,,,,,,,,Thursday,,,,C-Margala 3
,Data St Lab (CY-B),,,,,,COAL Lab (CS-D),,,,,,"OOP Lab (CS-B, 22)",,,,,,,,,,Thursday,,,,C-Margala 4
,COAL Lab (CS-E),,,,,,COAL Lab (CS-B),,,,,,Comp Net (CS-C/D),,,,,,,,,,Thursday,,,,C-Rawal 1
,Data St Lab (CS-C),,,,,,Data St Lab (CS-A),,,,,,,,,,,,,,,,Thursday,,,,Rawal 3 (B-232)
,,,,Blockchain & Crypto (CY-M),,,Data St Lab (DS-C),,,,,,OS Lab (AI-J),,,,,,,,,,Thursday,,,,C-Rawal 4
,,,,,,,Prog for AI Lab (AI-D),,,,,,ML Lab (AI-K),,,,,,,,,,Thursday,,,,C-GPU Lab
,Data St Lab (AI-C),,,,,,Data St Lab (SE-B),,,,,,FSM,,,,,,,,,,Thursday,,,,A-Karakoram 1
,IICT (AI-A),,,,,,"DB Lab (CS-C, 21)",,,,,,IICT (CS-D),,,,,,,,,,Thursday,,,,A-Karakoram 2
,Data St Lab (SE-D),,,,,,,,,,,,FSM,,,,,,,,,,Thursday,,,,A-Karakoram 3
,PF Lab (CY-A),,,,,,PF Lab (CY-B),,,,,,,,,,,,,,,,Thursday,,,,A-Mehran 1
,Data St Lab (DS-D),,,,,,Deep Learning (B),,,,,,,,,,,,,,,,Thursday,,,,A-Mehran 2
,Func Eng Lab (CS-D1),,,,,,Func Eng Lab (CS-A1),,,,,,Func Eng Lab (CS-C1),,,,,,,,,,Thursday,,,,A-CALL-1
,Func Eng Lab (CS-D2),,,,,,Func Eng Lab (CS-A2),,,,,,Func Eng Lab (CS-C2),,,,,,,,,,Thursday,,,,A-CALL-2
,,,,,,,,,,FSM,,,FSM,,,,,,,,,,Thursday,,,,A-CALL-3
,DLD Lab (AI-D),,,,,,DLD Lab (AI-C),,,,,,DLD Lab (CY-A),,,,,,,,,,Thursday,,,,B-Digital
