Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Sheet Name,Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
C-309,AP (AI-A),,,PF (AI-A),,,Stat & Modeling (CS-F/G),,,Islamic (CS-E) 01:15-03:00,,,,Islamic (CS-F) 03:05-04:50,,,,,,,,,Monday,,,,
C-310,Func Eng (CS-G) 08:30-10:15,,,,,,Data St (CS-H),,,Data St (CS-C),,,S/w Re-Engg (SE-R),,,,,,,,,,Monday,,,,
C-311,Discrete (CS-B),,,Discrete (CS-A),,,COAL (CS-A),,,COAL (CS-B),,,,LA (CS-A) 03:00-04:20,,,,,,,,,Monday,,,,
C-401,PF (CY-A),,,Calculus (CY-A),,,LA (CS-J),,,LA (CS-K),,,PPIT (CS-A),,,Info Sec (CS-A),,,,,,,Monday,,,,
C-402,COAL (CS-D),,,LA (CS-D),,,Data St (CS-D),,,Cloud Comp (SE-A),,,Info Sec (CS-B),,,PPIT (CS-B),,,,,,,Monday,,,,
C-403,Data St (CS-E),,,COAL (CS-E),,,Discrete (CS-E),,,LA (SE-E),,,PPIT (CS-C),,,Info Sec (CS-C),,,,,,,Monday,,,,
C-404,Ideology of Pak (DS-C) 08:30-10:15,,,,,,Fund of SE (CY-C),,,S/w Req Engg (SE-C) ReSch,,,"OOP (CS-A, 22)",,,"OOP (CS-B, 22)",,,,,,,Monday,,,,
C-405,Data St (SE-A),,,Data St (CS-F),,,DLD (CY-D),,,Fund of SE (CY-D),,,DLD (CY-C),,,,,,,,,,Monday,,,,
C-406,LA (SE-F),,,LA (SE-G),,,HCI (SE-A),,,S/w Req Engg (SE-A),,,Fund of Mgt (SE-A),,,,,,,,,,Monday,,,,
C-407,SE,,,Data St (SE-B),,,S/w Req Engg (SE-B),,,HCI (SE-B),,,Mktg Mgt (CS-C),,,Mktg Mgt (SE-C),,,,,,,Monday,,,,
C-408,HCI (SE-C),,,S/w Req Engg (SE-C),,,Data St (SE-C),,,Data St (SE-D),,,Freelancing (CS-C),,,,,,,,,,Monday,,,,
C-409,S/w Req Engg (SE-D),,,HCI (SE-D),,,TBW (CS-B/Z),,,Automata (CS-D),,,"OS (CS-A,21)",,,"OS (CS-B,21)",,,,,,,Monday,,,,
C-410,Comp Net (CS-E),,,SDA (CS-E),,,Automata (CS-C),,,SDA (CS-A),,,PPIT (DS-N),,,"DB (CS-D,21)",,,,,,,Monday,,,,
B-130,SDA (CS-C),,,Data St (SE-F) ReSch,,,Comp Net (CS-A/Y),,,,,,,,,Deep Learn (DS-N),,,,,,,Monday,,,,
B-227,Automata (CS-A),,,Automata (CS-Y),,,SDA (CS-D),,,SDA (CS-Y),,,"Diff Eq (D, 22)",,,"Diff Eq (E, 22)",,,,,,,Monday,,,,
B-229,TBW (CS-G),,,Stat & Modeling (CS-B),,,Robo Tech (CS-Robo),,,Stat & Modeling (CS-Z),,,,,,,,,,,,,Monday,,,,
B-230,Stat & Modeling (CS-H),,,AI (CS-A),,,Fund of SE (CY-A) ReSch,,,,,,,,,,,,,,,,Monday,,,,
A-108,Algo (DS-M),,,Algo (DS-N),,,MLOPs (AI-JK),,,Blockchain & Crypto (AI-JK),,,Comp Vision (AI-J),,,Comp Vision (AI-K),,,,,,,Monday,,,,
A-211,Algo (AI-J),,,ML (AI-J),,,Knowl Rep (AI-J),,,,,,,,,,,,,,,,Monday,,,,
A-301,OS (AI-K),,,Knowl Rep (AI-K),,,Algo (AI-K),,,ML (AI-K),,,"DB (CS-C,21)",,,Pak Studies (A),,,,,,,Monday,,,,
A-302,Algo (CY-T),,,Data St (CS-G),,,Algo (SE-P),,,OS (SE-P),,,,,,,,,,,,,Monday,,,,
A-303,TBW (DS-N),,,TBW (DS-M),,,OS (SE-Q),,,Algo (SE-Q),,,,,,,,,,,,,Monday,,,,
A-305,COAL (CS-C),,,LA (CS-C),,,LA (CS-B),,,,,,"OOP (CY-A, 22)",,,,,,,,,,Monday,,,,
A-310,Ethical Hacking,,,"OOP (AI/DS-A, 22)",,,"OOP (AI/DS-B, 22)",,,,,,,,,,,,,,,,Monday,,,,
A-311,"OOP (AI/DS-C, 22)",,,Deep Learning (A),,,DIP,,,,,,,,,,,,,,,,Monday,,,,
A-314,Data St (SE-G) ReSch,,,Cloud Comp (SE-B),,,AI (CS-B),,,,,,,,,,,,,,,,Monday,,,,
A-315,Islamic (CS-F) ReSch,,,FSM,,,Islamic (CS-E) ReSch,,,,,,,,,,,,,,,,Monday,,,,
A-316,,,,FSM,,,FSM,,,FSM,,,FSM,,,FSM,,,,,,,Monday,,,,
C-110,SMD (A),,,Comp Net (CS-C/D),,,SMD (B),,,Reserved,,,,,,,,,,,,,Monday,,,,
Seminar A,,,,,,,,,,,,,,,,,,,,,,,Monday,,,,
