Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,,,,06:45-08:05,,05:20-06:40 ,Room,
,SE,,,PF (CS-B),,,Calculus (CS-B),,,Calculus (CS-A),,,"OOP (CS-A, 22)",,,"OOP (CS-B, 22)",,,,,,DS Tools & Tech,,Stat & Math for DS,C-301,
,HCI (SE-C),,,AP (CS-A),,,Algo (SE-P),,,OS (SE-P),,,OS (AI-J),,,Info Sec (CS-F) ReSch,,,,,,Adv Algo,,Adv OS,C-302,
,PF (CS-C),,,Calculus (CS-C),,,OS (SE-Q),,,Algo (SE-Q),,,"OOP (CY-A, 22)",,,"OOP (CY-B, 22)",,,,,,Applied Info Sec,,Applied Info Sec,C-303,
,Calculus (CS-D),,,PF (CS-D),,,AP (CS-D),,,AP (CS-C),,,S/w Re-Engg (SE-R),,,,,,,,,Adv S/w Arch,,Adv Qual Assur,C-304,
,AP (AI-A),,,PF (AI-A),,,Func Eng (AI-A) 11:30-01:15,,,,Func Eng (AI-B) 02:00-03:45,,,,,,,,,,,Adv AI,,Deep Learning,C-305,
,Calculus (AI-B),,,AP (AI-B),,,PF (AI-B),,,AP (CS-B),,,Fund of Mgt (SE-A),,,Digital Mktg (CY-T),,,,,,,,,C-307,
,PF (CY-A),,,Calculus (CY-A),,,Ideology of Pak (CY-A) 11:30-01:15,,,,Ideology of Pak (CY-B) 02:00-03:45,,,,,,,,,,,,,,C-308,
,Data St (CS-E),,,COAL (CS-E),,,Discrete (CS-E),,,,,,,,,,,,,,,,,,C-309,
,Ideology of Pak (DS-B) 08:30-10:15,,,,,,TBW (CS-B/Z),,,Ideology of Pak (DS-A) 01:00-02:45,,,,,,,,,,,,,,,C-310,
